krs09,krs09name,ROR08,ROR08name,kkz1,kkz2
3404000,"Osnabrück, Stadt",311,Osnabrück,3404,03404
3405000,"Wilhelmshaven, Stadt",312,Ost-Friesland,3405,03405
3451000,Ammerland,310,Oldenburg,3451,03451
3452000,Aurich,312,Ost-Friesland,3452,03452
3453000,Cloppenburg,310,Oldenburg,3453,03453
3454000,Emsland,304,Emsland,3454,03454
3455000,Friesland,312,Ost-Friesland,3455,03455
3456000,Grafschaft Bentheim,304,Emsland,3456,03456
3457000,Leer,312,Ost-Friesland,3457,03457
3458000,Oldenburg,310,Oldenburg,3458,03458
3459000,Osnabrück,311,Osnabrück,3459,03459
3460000,Vechta,311,Osnabrück,3460,03460
3461000,Wesermarsch,303,Bremerhaven,3461,03461
3462000,Wittmund,312,Ost-Friesland,3462,03462
4011000,"Bremen, Stadt",401,Bremen,4011,04011
4012000,"Bremerhaven, Stadt",303,Bremerhaven,4012,04012
5111000,"Düsseldorf, Stadt",508,Düsseldorf,5111,05111
5112000,"Duisburg, Stadt",507,Duisburg/Essen,5112,05112
5113000,"Essen, Stadt",507,Duisburg/Essen,5113,05113
5114000,"Krefeld, Stadt",508,Düsseldorf,5114,05114
5116000,"Mönchengladbach, Stadt",508,Düsseldorf,5116,05116
5117000,"Mülheim an der Ruhr, Stadt",507,Duisburg/Essen,5117,05117
5119000,"Oberhausen, Stadt",507,Duisburg/Essen,5119,05119
5120000,"Remscheid, Stadt",508,Düsseldorf,5120,05120
5122000,"Solingen, Stadt",508,Düsseldorf,5122,05122
5124000,"Wuppertal, Stadt",508,Düsseldorf,5124,05124
5154000,Kleve,507,Duisburg/Essen,5154,05154
5158000,Mettmann,508,Düsseldorf,5158,05158
5162000,Rhein-Kreis Neuss,508,Düsseldorf,5162,05162
5166000,Viersen,508,Düsseldorf,5166,05166
5170000,Wesel,507,Duisburg/Essen,5170,05170
5314000,"Bonn, Stadt",505,Bonn,5314,05314
5315000,"Köln, Stadt",510,Köln,5315,05315
5316000,"Leverkusen, Stadt",510,Köln,5316,05316
